Game,Copies sold,Release date,Genre,Developer,Publisher,Console_name
Runaway: A Road Adventure,1 million,2001-07-06,Adventure,"Péndulo Studios, S.L.",Dinamic Multimedia,PC
Zoo Tycoon,1 million,2001-10-17,Business simulation,Microsoft,Blue Fang Games,PC
Stronghold,1 million,2001-10-19,Real-time strategy,Firefly Studios,Take-Two Interactive / Gathering of Developers,PC
Civilization III,2 million,2001-10-30,"Turn-based strategy, 4X",Firaxis Games,Infogrames,PC
Empire Earth,1 million,2001-11-12,Real-time strategy,Stainless Steel Studios,Sierra Entertainment,PC
Harry Potter and the Philosopher's Stone,1 million,2001-11-15,Action-adventure,KnowWonder,Electronic Arts,PC
Return to Castle Wolfenstein,1 million,2001-11-19,First-person shooter,Gray Matter Studios id Software,Activision,PC
Dungeon Siege,1 million,2002-04-05,Role-playing game,Gas Powered Games,Microsoft Game Studios,PC
Hotel Giant,1 million,2002-05-17,Business simulation,Enlight Software,JoWood Productions,PC
Neverwinter Nights,2 million,2002-06-18,Role-playing game,BioWare,Infogrames / Atari,PC
Warcraft III: Reign of Chaos,3 million,2002-07-03,Real-time strategy,Blizzard Entertainment,Blizzard Entertainment (North America) Sierra Entertainment (Europe) Capcom (Japan),PC
Stronghold: Crusader,2 million,2002-07-31,Real-time strategy,Firefly Studios,Take-Two Interactive / Gathering of Developers,PC
Mafia: The City of Lost Heaven,2 million,2002-08-28,Third-person shooter,Illusion Softworks,Gathering of Developers,PC
Battlefield 1942,2 million,2002-09-10,First-person shooter,EA DICE,Electronic Arts,PC
Age of Mythology,1 million,2002-10-30,Real-time strategy,Ensemble Studios,Microsoft,PC
SimCity 4,2 million,2003-01-14,City-building,Maxis,Electronic Arts (Windows) Aspyr Media (macOS),PC
Anno 1503,2 million,2003-03-23,City-building,Max Design,Sunflowers,PC
Vietcong,1 million,2003-03-26,Tactical shooter,Pterodon Illusion Softworks,Gathering of Developers,PC
Star Wars Galaxies,1 million,2003-06-26,MMORPG,Sony Online Entertainment,LucasArts,PC
